part_number,description,manufacturer,series_or_configuration,authorized_distributor,distributor_sku,coc_availability_status,procurement_evidence_status,received_item_coc_status,access_date_utc,primary_url,secondary_url,retrieval_dates,evidence_support
V80040,HALKEY-ROBERTS WATER-SENSITIVE BOBBIN,Nordson MEDICAL / Halkey-Roberts,V80040,,,COC AVAILABILITY NOT CONFIRMED,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-V80040-Bobbin-Instructions-For-Use.pdf,,,source_bom_aggregate
ROTOR-CLIP-DC-4SS,ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT,Rotor Clip,,,,COC AVAILABILITY NOT CONFIRMED,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://www.rotorclip.com/product/dc-4/,,,source_bom_aggregate
GS-19-50-V4A-B8-B8,ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY,ACE Controls,GS-19-50-V4A-B8-B8,,,COC AVAILABLE AS ORDER OPTION,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html,,2026-08-18,source_bom_aggregate
GS-19-50-V4A-B8-B8-ROD-CHILD,ACE GS-19 MOVING ROD ARTICULATION CHILD,ACE Controls,,,,COC AVAILABILITY NOT CONFIRMED,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html,,,source_bom_aggregate
HBD-15-25-AA-P,ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY,ACE Controls,HBD-15-25-AA-P,,,COC AVAILABLE AS ORDER OPTION,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,,2026-08-18,source_bom_aggregate
HBD-15-25-AA-P-ROD-CHILD,HBD MOVING ROD ARTICULATION CHILD,ACE Controls,,,,COC AVAILABILITY NOT CONFIRMED,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html,,,source_bom_aggregate
GN-615.3-M3-KN-PFB,JW WINCO M3 STAINLESS BALL PLUNGER,JW Winco / Ganter,,,,COC AVAILABILITY NOT CONFIRMED,PROCUREMENT EVIDENCE NOT PRESENT,RECEIVED-ITEM COC NOT VERIFIED,2026-08-23T20:42:05Z,https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Spring-plungers/GN-615.3-Steel-Stainless-Steel-Ball-Plungers-with-thread-locking-with-ball-with-internal-hexagon,,,source_bom_aggregate
C-001,"Pressure reservoir candidate",Swagelok,316L-50DF4-150,"Swagelok authorized sales and service center",316L-50DF4-150,"UNVERIFIED - require supplier CoC statement on quote","REQUEST QUOTE ONLY - exact MPN/drawing/DOT marking/serial/hydro/MTR/relief/lead time","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-50DF4-150,https://www.swagelok.com/downloads/webcatalogs/en/ms-01-177.pdf,2026-08-24,"Require physical serial-to-CoC/MTR/hydro record linkage at receiving"
C-006,"60 L buoyancy bag candidate",HIKO Sport,"87640_OLV_ONE FLOATEK FULL TAIL","HIKO local dealer network",87640_OLV_ONE,"UNVERIFIED - request supplier/manufacturer lot statement","NO ORDER - manufacturer page sold out; exact same-lot stock required","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://hikosport.com/en-eu/products/floatek-full-tail,https://www.mana-shop.eu/manashop/eshop/42-1-Wasserdicht-Produkte-HIKO/87-2-Trocken-Packsacke/5/4028-Auftriebsbeutel-FLOATEK-FULL-TAIL-HIKO,2026-08-24,"Require exact SKU/lot/material/60 L basis/pressure limit/return rights"
C-012,"WP04 ejector spring candidate",Gutekunst Federn,VD-244,"Gutekunst direct",VD-244,"UNVERIFIED - request inspection certificate option","RFQ AFTER OWNER CAD ACCEPTANCE","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.federnshop.com/en/products/compression_springs/vd-244.html,,2026-08-24,"Require exact catalog revision/lot/free length/rate/solid height/material certificate"
C-013,"8 mm pivot bushing candidate",igus,GFM-081013-08,"igus direct",GFM-081013-08,"UNVERIFIED - request lot/material declaration","RFQ AFTER OWNER CAD ACCEPTANCE","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.igus.com/ContentData/Products/Downloads/iglide_G300_FM_USen.pdf,,2026-08-24,"Require exact MPN/lot/material/CAD and incoming dimensions"
C-014,"8 mm pivot thrust washer candidate",igus,GTM-0815-005,"igus direct",GTM-0815-005,"UNVERIFIED - request lot/material declaration","RFQ AFTER OWNER CAD ACCEPTANCE","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.igus.com/iglide-ibh/thrust-washers,,2026-08-24,"Require exact MPN/lot/material/CAD and incoming dimensions"
C-015,"8 mm pivot retaining ring candidate",Smalley,VSM-8-S16,"Smalley factory direct",VSM-8-S16,"UNVERIFIED - request material/lot certificate","RFQ AFTER OWNER CAD ACCEPTANCE; exact S16 orderability must be confirmed","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.smalley.com/ring/vsm-8,https://www.smalley.com/sites/default/files/pdfs/Retaining-Rings-CC2015.pdf,2026-08-24,"Require exact suffix/material/lot/groove data/load basis/CAD"
C-016,"4 mm ring consolidation candidate",Rotor Clip,DC-4SS,"Rotor Clip authorized distributor",DC-4SS,"UNVERIFIED - request material/lot certificate","RFQ AFTER OWNER CAD ACCEPTANCE","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.rotorclip.com/product/dc-4/,,2026-08-24,"Require exact MPN/material/lot/groove data/load basis/CAD"
C-017,"3 mm hinge ring candidate",Rotor Clip,DC-3SS,"Rotor Clip factory/authorized distributor",DC-3SS,"UNVERIFIED - exact SS SKU and certificate option must be confirmed","RFQ ONLY - public page currently lists steel SKU","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.rotorclip.com/product/dc-3/,,2026-08-24,"Do not purchase DC-3ST as substitute; require exact stainless identity"
C-018,"6 mm recovery ring candidate",Rotor Clip,DC-6SS,"Rotor Clip factory/authorized distributor",DC-6SS,"UNVERIFIED - exact SS SKU and certificate option must be confirmed","RFQ ONLY - recovery calculation/proof gate remains","RECEIVED-ITEM COC NOT VERIFIED",2026-08-24T08:35:05Z,https://www.rotorclip.com/product/dc-6/,,2026-08-24,"Require exact stainless identity/material/lot/load/groove data and joint proof"
